City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Srednekolymsk,RU,67.45,153.6833,244.82,100,87,0.86,overcast clouds
282,Nangomba,TZ,-10.9,38.5,308.42,19,18,2.4,few clouds
283,Nador,MA,35.174,-2.9287,300.19,69,0,2.57,clear sky
284,Karlshamn,SE,56.1706,14.8619,287.42,90,82,2.13,broken clouds
285,Marsabit,KE,2.3284,37.9899,296.26,53,58,5.61,broken clouds
286,Mitsamiouli,KM,-11.3847,43.2844,302.31,51,20,9.26,few clouds
287,Hualmay,PE,-11.0964,-77.6139,291.84,71,67,3.67,broken clouds
288,Bud,US,39.447,-86.1758,289.18,95,100,4.68,light rain
289,Hofn,IS,64.2539,-15.2082,282.16,87,100,7.2,light rain
290,Bowen,AU,-20.0167,148.2333,299.73,81,10,5.38,clear sky
291,Severo-Kurilsk,RU,50.6789,156.125,276.07,70,8,9.53,clear sky
292,Nerchinskiy Zavod,RU,51.3088,119.61,269.53,83,100,6.33,overcast clouds
293,Mehamn,NO,71.0357,27.8492,277.12,93,75,4.12,broken clouds
294,Houston,US,29.7633,-95.3633,293.66,81,0,0.45,clear sky
295,Trinidad,BO,-14.8333,-64.9,295.14,94,75,12.86,sand
296,La Gomera,GT,14.0833,-91.05,300.99,73,32,0.41,scattered clouds
297,Mopipi,BW,-21.1833,24.8833,305.08,26,88,3.42,overcast clouds
298,Muros,ES,42.7762,-9.0603,291.56,67,9,5.63,clear sky
299,Goksun,TR,38.021,36.4973,286.42,52,76,1.59,broken clouds
300,Ekhabi,RU,53.5102,142.9671,275.12,89,100,6.15,overcast clouds
301,Henties Bay,NA,-22.116,14.2845,290.43,77,76,5.29,broken clouds
302,Saint-Pierre,RE,-21.3393,55.4781,297.97,73,75,2.57,broken clouds
303,Yulara,AU,-25.2406,130.9889,286.59,30,0,3.26,clear sky
304,Rosendal,NO,59.9867,6.0135,287.33,79,21,2.73,few clouds
305,El Zulia,CO,7.9325,-72.6012,301.88,65,20,1.54,few clouds
306,Nanortalik,GL,60.1432,-45.2371,273.11,84,79,4.69,broken clouds
307,Chute-Aux-Outardes,CA,49.1168,-68.399,283.14,62,0,3.09,clear sky
308,Saldanha,ZA,-33.0117,17.9442,299.18,63,0,10.14,clear sky
309,Villafranca De Los Barros,ES,38.5614,-6.3381,293.47,57,100,5.14,overcast clouds
310,Teya,RU,60.3778,92.6267,266.76,79,87,1.36,overcast clouds
311,Goure,NE,13.9835,10.2704,306.06,14,0,5.74,clear sky
312,Asau,RO,46.4333,26.4,289.66,75,41,0.54,scattered clouds
313,Zhanaozen,KZ,43.3,52.8,287.93,78,100,5.25,light rain
314,Palestina,PS,31.9216,35.2033,292.83,69,11,5.94,few clouds
315,Sitka,US,57.0531,-135.33,276.09,87,100,3.09,light rain
316,Marsh Harbour,BS,26.5412,-77.0636,300.08,75,58,5.36,broken clouds
317,Marabba,SD,12.35,32.1833,309.67,21,37,3.17,scattered clouds
318,Bolobo,CD,-2.1667,16.2333,298.45,80,99,2.6,light rain
319,Saint Marys,US,30.7305,-81.5465,300.41,83,0,2.57,clear sky
320,Rimini,IT,44.0241,12.5186,297.6,73,0,1.54,clear sky
321,Kaduqli,SD,11.0167,29.7167,305.14,32,24,3.35,few clouds
322,Barmer,IN,25.75,71.3833,301.38,19,0,2.96,clear sky
323,Salalah,OM,17.0151,54.0924,301.2,65,20,1.54,few clouds
324,Tevriz,RU,57.509,72.4042,269.77,85,90,2.85,overcast clouds
325,Kitui,KE,-1.367,38.0106,296.6,56,83,3.87,broken clouds
326,Saint Stephen,GB,50.3333,-4.9,288.3,88,75,8.75,broken clouds
327,Namibe,AO,-15.1961,12.1522,300.5,69,20,6.17,few clouds
328,Dingle,PH,10.9995,122.6711,297.78,90,98,3.42,overcast clouds
329,Isangel,VU,-19.55,169.2667,296.98,88,11,3.27,few clouds
330,Hwange,ZW,-18.3693,26.5019,304.24,34,100,4.46,light rain
331,Doha,QA,25.2867,51.5333,304.32,64,0,4.12,clear sky
332,Kapit,MY,2.0167,112.9333,296.94,98,100,1.06,moderate rain
333,Pucallpa,PE,-8.3791,-74.5539,303.17,74,40,3.09,scattered clouds
334,Port Hardy,CA,50.6996,-127.4199,278.25,100,100,1.03,overcast clouds
335,Ponta Do Sol,PT,32.6667,-17.1,297.99,83,94,2.22,overcast clouds
336,Lingyuan,CN,41.24,119.4011,276.3,38,5,2.67,clear sky
337,Shimoda,JP,34.6667,138.95,287.65,69,100,6.64,overcast clouds
338,Tiarei,PF,-17.5333,-149.3333,296.16,81,100,5.02,light rain
339,Bira,RU,49.0,132.4667,274.52,99,100,0.86,overcast clouds
340,Benghazi,LY,32.1167,20.0667,295.42,51,0,5.17,clear sky
